delay,dimension,test_rmse,mean_rmse,std_rmse
1,13,",,,,,,,,,,,",4.04764701314501,1.48569008565934
7,11,",,,,,,,,,,,",4.04447256449752,1.2268867570269
3,17,",,,,,,,,,,,",4.04204497524823,1.20873641879545
10,13,",,,,,,,,,,,",4.03541541096817,1.18284528646681
4,14,",,,,,,,,,,,",4.03291505570129,1.16543188732736
4,16,",,,,,,,,,,,",4.03197298076054,1.15307727209632
7,12,",,,,,,,,,,,",4.02870101170824,1.21005614440187
4,15,",,,,,,,,,,,",4.0286526720814,1.15345287051676
1,20,",,,,,,,,,,,",4.02697889507529,1.24476681272532
2,25,",,,,,,,,,,,",4.02455116211569,1.029194370021
10,14,",,,,,,,,,,,",4.02000501294819,1.18994315681945
1,19,",,,,,,,,,,,",4.01445716780579,1.19914343419341
10,16,",,,,,,,,,,,",4.01441038460128,1.19329868661744
10,15,",,,,,,,,,,,",4.00859730349935,1.18011298000698
5,13,",,,,,,,,,,,",3.99435390572873,1.21299434414155
1,25,",,,,,,,,,,,",3.98000291452155,1.18402785417261
5,14,",,,,,,,,,,,",3.97380589683271,1.21061470438104
5,16,",,,,,,,,,,,",3.97097924058351,1.19482170986818
6,13,",,,,,,,,,,,",3.96977760685325,1.25843021962898
8,13,",,,,,,,,,,,",3.96776891262359,1.2272711960489
5,15,",,,,,,,,,,,",3.96726081733311,1.19004742332369
9,17,",,,,,,,,,,,",3.96033910573909,1.18900952986559
4,17,",,,,,,,,,,,",3.94798304773809,1.20888785317413
6,14,",,,,,,,,,,,",3.94325045506841,1.23366226102027
7,13,",,,,,,,,,,,",3.9417552888525,1.24063451578831
6,16,",,,,,,,,,,,",3.93698067641335,1.22332481133681
6,15,",,,,,,,,,,,",3.93261577399718,1.21359730391832
8,14,",,,,,,,,,,,",3.92837611884567,1.18714916412112
3,18,",,,,,,,,,,,",3.92322752904516,1.09087328092779
8,16,",,,,,,,,,,,",3.91935676861899,1.18012003679702
9,18,",,,,,,,,,,,",3.91615043218269,1.12408175052073
10,17,",,,,,,,,,,,",3.91282683539164,1.21546662141126
8,15,",,,,,,,,,,,",3.91200673256801,1.16604975138277
7,14,",,,,,,,,,,,",3.90666794348909,1.19339407922152
5,17,",,,,,,,,,,,",3.90447931598112,1.25277297930034
7,16,",,,,,,,,,,,",3.90046091687437,1.18930032708105
1,18,",,,,,,,,,,,",3.89413261852541,1.12728965673
7,15,",,,,,,,,,,,",3.89377580873405,1.17470744076417
3,21,",,,,,,,,,,,",3.89340033583772,1.06173108399542
3,22,",,,,,,,,,,,",3.8866992312487,1.0664292715426
9,19,",,,,,,,,,,,",3.88316891004933,1.11581729537036
3,20,",,,,,,,,,,,",3.87524483088403,1.07029917615805
6,17,",,,,,,,,,,,",3.87071828909085,1.27180047302424
3,19,",,,,,,,,,,,",3.87048130174104,1.07807613927336
10,18,",,,,,,,,,,,",3.85183670305409,1.15929384664827
8,17,",,,,,,,,,,,",3.85179404214724,1.21523295999598
2,26,",,,,,,,,,,,",3.85155018561135,0.965214948884198
9,20,",,,,,,,,,,,",3.84952273689837,1.0376382439822
2,27,",,,,,,,,,,,",3.83699031355785,0.929872003823528
7,17,",,,,,,,,,,,",3.83286253286624,1.22967760169453
