delay_step,i_multiplier,seed,rmse,trial_path
2,12,3407,4.492082087198893,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00050_50_delay_step=2,i_multiplier=12,seed=3407_2025-07-23_12-38-55"
2,20,114514,4.483543189366658,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00270_270_delay_step=2,i_multiplier=20,seed=114514_2025-07-23_12-55-02"
2,12,42,4.42866366704305,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00000_0_delay_step=2,i_multiplier=12,seed=42_2025-07-23_12-38-54"
2,12,42,4.42866366704305,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_46523_00000_0_delay_step=2,i_multiplier=12,seed=42_2025-07-23_12-34-10"
2,16,3407,4.398252407709758,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00060_60_delay_step=2,i_multiplier=16,seed=3407_2025-07-23_12-38-55"
2,14,2025,4.380332660675049,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00305_305_delay_step=2,i_multiplier=14,seed=2025_2025-07-23_13-04-54"
2,22,42,4.322043911616007,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00025_25_delay_step=2,i_multiplier=22,seed=42_2025-07-23_12-38-55"
2,22,7,4.308914152781169,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00375_375_delay_step=2,i_multiplier=22,seed=7_2025-07-23_13-23-15"
2,20,2025,4.298257732391358,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00320_320_delay_step=2,i_multiplier=20,seed=2025_2025-07-23_13-09-09"
2,16,114514,4.287429793675741,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00260_260_delay_step=2,i_multiplier=16,seed=114514_2025-07-23_12-53-15"
2,14,666,4.2866674900054935,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00205_205_delay_step=2,i_multiplier=14,seed=666_2025-07-23_12-39-02"
2,24,42,4.2249339580535885,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00030_30_delay_step=2,i_multiplier=24,seed=42_2025-07-23_12-38-55"
4,22,2025,4.147962951660157,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00326_326_delay_step=4,i_multiplier=22,seed=2025_2025-07-23_13-10-47"
2,16,2025,4.141546980539958,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00310_310_delay_step=2,i_multiplier=16,seed=2025_2025-07-23_13-06-33"
2,22,114514,4.110869121551514,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00275_275_delay_step=2,i_multiplier=22,seed=114514_2025-07-23_12-57-01"
4,16,666,4.05651756922404,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00211_211_delay_step=4,i_multiplier=16,seed=666_2025-07-23_12-39-03"
4,12,2002,4.021804602940877,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00401_401_delay_step=4,i_multiplier=12,seed=2002_2025-07-23_13-30-39"
2,22,3407,4.006304089228312,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00075_75_delay_step=2,i_multiplier=22,seed=3407_2025-07-23_12-38-55"
4,16,7,3.9748560269673665,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00361_361_delay_step=4,i_multiplier=16,seed=7_2025-07-23_13-19-34"
4,14,3407,3.9661539713541667,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00056_56_delay_step=4,i_multiplier=14,seed=3407_2025-07-23_12-38-55"
2,16,7,3.94850910504659,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00360_360_delay_step=2,i_multiplier=16,seed=7_2025-07-23_13-19-29"
2,20,666,3.9378862539927164,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00220_220_delay_step=2,i_multiplier=20,seed=666_2025-07-23_12-42-45"
2,20,1113,3.9332717577616374,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00170_170_delay_step=2,i_multiplier=20,seed=1113_2025-07-23_12-38-56"
2,24,7,3.863895829518636,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00380_380_delay_step=2,i_multiplier=24,seed=7_2025-07-23_13-24-47"
2,14,42,3.863143301010132,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_46523_00005_5_delay_step=2,i_multiplier=14,seed=42_2025-07-23_12-34-11"
2,14,42,3.863143301010132,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00005_5_delay_step=2,i_multiplier=14,seed=42_2025-07-23_12-38-54"
4,12,2025,3.8185169378916424,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00301_301_delay_step=4,i_multiplier=12,seed=2025_2025-07-23_13-03-31"
4,12,7,3.793914492925008,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00351_351_delay_step=4,i_multiplier=12,seed=7_2025-07-23_13-17-04"
4,22,42,3.6854793230692544,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00026_26_delay_step=4,i_multiplier=22,seed=42_2025-07-23_12-38-55"
4,18,542,3.6833549817403157,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00466_466_delay_step=4,i_multiplier=18,seed=542_2025-07-23_13-47-38"
2,20,103,3.6829336961110433,"/root/autodl-tmp/python_koopman_project/src/DRKO/models/LKO_GridSearch_ray_Final_motion8_update/GridSearch_Delay_IMult_Seed/train_model_efd28_00120_120_delay_step=2,i_multiplier=20,seed=103_2025-07-23_12-38-56"
