delay,dimension,test_rmse,mean_rmse,std_rmse
3,9,",,,,,,,,,,,",5.41582516921159,1.20221841279957
4,12,",,,,,,,,,,,",5.41065502217286,1.17791521735063
3,10,",,,,,,,,,,,",5.40975792130488,1.2161337399592
9,8,",,,,,,,,,,,",5.40365123005307,1.23247777017798
10,8,",,,,,,,,,,,",5.3994355826032,1.23736357681086
9,12,",,,,,,,,,,,",5.39547697644467,1.23028538618917
8,12,",,,,,,,,,,,",5.39329603126908,1.22405410101686
5,12,",,,,,,,,,,,",5.39169169971948,1.19020632498883
4,8,",,,,,,,,,,,",5.389617670849,1.21001542053169
8,8,",,,,,,,,,,,",5.3881409273565,1.22216821056513
4,27,",,,,,,,,,,,",5.38746642661395,1.27623601967344
9,9,",,,,,,,,,,,",5.38551530369116,1.22798734908816
10,12,",,,,,,,,,,,",5.38483461251342,1.23569486529048
2,21,",,,,,,,,,,,",5.38454006633897,1.182148609107
10,9,",,,,,,,,,,,",5.38267661631316,1.23198978400744
6,12,",,,,,,,,,,,",5.38078594308922,1.20672467423232
5,8,",,,,,,,,,,,",5.38045408598621,1.20819063970476
6,8,",,,,,,,,,,,",5.37979079920338,1.21646588627818
7,12,",,,,,,,,,,,",5.37811866382764,1.21842808420493
7,8,",,,,,,,,,,,",5.37531408099237,1.22047983866217
1,14,",,,,,,,,,,,",5.37366415601645,1.16397861662761
4,9,",,,,,,,,,,,",5.37340624468186,1.20124164572844
9,10,",,,,,,,,,,,",5.37224636335674,1.23881272454254
10,10,",,,,,,,,,,,",5.36937935079891,1.24273641448314
8,9,",,,,,,,,,,,",5.36920269277873,1.21855596475594
3,13,",,,,,,,,,,,",5.36883103034417,1.1942578253441
2,22,",,,,,,,,,,,",5.36570226352074,1.18116811384769
4,10,",,,,,,,,,,,",5.36544185015064,1.21419124256622
5,9,",,,,,,,,,,,",5.36346120979398,1.20104151965242
6,9,",,,,,,,,,,,",5.36233233309115,1.21064868141157
2,23,",,,,,,,,,,,",5.35983964124604,1.19144597669331
8,10,",,,,,,,,,,,",5.35712307580449,1.22936207913688
7,9,",,,,,,,,,,,",5.35653955184089,1.2162870788602
5,10,",,,,,,,,,,,",5.35281413176825,1.21312967088831
1,15,",,,,,,,,,,,",5.35209683841926,1.17368889151367
5,27,",,,,,,,,,,,",5.35201019607927,1.30889398449486
9,27,",,,,,,,,,,,",5.35157337398703,1.34733106348529
6,10,",,,,,,,,,,,",5.34973595117336,1.22188358235257
7,10,",,,,,,,,,,,",5.34384188020945,1.22697903278846
4,13,",,,,,,,,,,,",5.33077600522221,1.20217197012644
10,19,",,,,,,,,,,,",5.33076015357297,1.28036667562395
10,20,",,,,,,,,,,,",5.32846695329177,1.28690491818485
10,18,",,,,,,,,,,,",5.32689457305781,1.27200379826728
3,19,",,,,,,,,,,,",5.31553649527955,1.22061712127056
9,13,",,,,,,,,,,,",5.31542885591693,1.25246615597051
5,13,",,,,,,,,,,,",5.31373993259661,1.21309818075981
8,13,",,,,,,,,,,,",5.31304939341344,1.24545214753318
3,18,",,,,,,,,,,,",5.31189667847633,1.20704039517988
6,27,",,,,,,,,,,,",5.30955198620094,1.33714635616532
10,13,",,,,,,,,,,,",5.30690403340631,1.25848082733821
6,13,",,,,,,,,,,,",5.30285098624892,1.22906656150408
3,25,",,,,,,,,,,,",5.30230991811549,1.24759395585989
7,13,",,,,,,,,,,,",5.30070171715438,1.2400101604147
1,17,",,,,,,,,,,,",5.29902481815132,1.21534497324204
3,24,",,,,,,,,,,,",5.2967112075353,1.24285403612297
3,20,",,,,,,,,,,,",5.29244369034541,1.21972834539542
8,27,",,,,,,,,,,,",5.2887404047081,1.35615134220819
10,21,",,,,,,,,,,,",5.28647962612709,1.34263732025234
10,25,",,,,,,,,,,,",5.28610121160599,1.33692511405193
10,24,",,,,,,,,,,,",5.28010225208532,1.33517504507777
9,19,",,,,,,,,,,,",5.27473933974068,1.29414414954484
